Tamanho	MS	QS
928000	0,368152	0,32853
929000	0,369018	0,327959
930000	0,368556	0,329998
931000	0,36907	0,329637
932000	0,372459	0,329455
933000	0,369452	0,332491
934000	0,369999	0,330075
935000	0,375835	0,33385
936000	0,372652	0,332026
937000	0,371241	0,333219
938000	0,373306	0,331808
939000	0,372516	0,332984
940000	0,374169	0,331839
941000	0,374778	0,33253
942000	0,375624	0,333108
943000	0,375451	0,335999
944000	0,376674	0,334118
945000	0,375406	0,33415
946000	0,377155	0,337158
947000	0,377374	0,336109
948000	0,378432	0,337799
949000	0,378427	0,337423
950000	0,378713	0,338381
951000	0,380792	0,33818
952000	0,380621	0,336602
953000	0,380461	0,339049
954000	0,382831	0,337439
955000	0,381727	0,338102
956000	0,382497	0,337665
957000	0,381777	0,338342
958000	0,381583	0,338486
959000	0,383438	0,339399
960000	0,384629	0,339616
961000	0,387073	0,339947
962000	0,384636	0,341454
963000	0,385356	0,341144
964000	0,386894	0,342263
965000	0,386682	0,345162
966000	0,388715	0,342433
967000	0,388322	0,345072
968000	0,387904	0,345903
969000	0,390182	0,345865
970000	0,388652	0,345269
971000	0,388672	0,346688
972000	0,391155	0,344234
973000	0,389299	0,345827
974000	0,392178	0,343683
975000	0,389789	0,347305
976000	0,391132	0,348348
977000	0,390491	0,346345
978000	0,389697	0,348935
979000	0,392769	0,350232
980000	0,393938	0,34811
981000	0,393866	0,350611
982000	0,392927	0,347767
983000	0,392652	0,348198
984000	0,393782	0,349542
985000	0,394556	0,349175
986000	0,394572	0,349424
987000	0,394917	0,351339
988000	0,397398	0,34942
989000	0,397627	0,353764
990000	0,396167	0,350258
991000	0,397333	0,352132
992000	0,397664	0,351817
993000	0,399796	0,352152
994000	0,407972	0,360147
995000	0,398804	0,357626
996000	0,399327	0,353076
997000	0,399053	0,355425
998000	0,40175	0,35747
999000	0,400861	0,355081
1000000	0,401908	0,354326
